time_series_name,model_run_date,prediction_date,predicted_value
time_series_0,29/05/2022,01/06/2022,4.757144272
time_series_0,29/05/2022,02/06/2022,-1.525436054
time_series_0,29/05/2022,03/06/2022,-3.889941892
time_series_0,29/05/2022,04/06/2022,-12.91281886
time_series_0,29/05/2022,05/06/2022,-7.430851852
time_series_0,29/05/2022,06/06/2022,-1.025989664
time_series_0,29/05/2022,07/06/2022,-4.948539873
time_series_0,29/05/2022,08/06/2022,14.71092801
time_series_0,29/05/2022,09/06/2022,1.389142654
time_series_0,29/05/2022,10/06/2022,0.795690794
time_series_0,29/05/2022,11/06/2022,-1.933324328
time_series_0,05/06/2022,05/06/2022,-5.675507642
time_series_0,05/06/2022,06/06/2022,-3.011543976
time_series_0,05/06/2022,07/06/2022,1.793987148
time_series_0,05/06/2022,08/06/2022,1.760450216
time_series_0,05/06/2022,09/06/2022,7.68434252
time_series_0,05/06/2022,10/06/2022,2.202308993
time_series_0,05/06/2022,11/06/2022,-0.540801036
time_series_0,05/06/2022,12/06/2022,-5.840592077
time_series_0,05/06/2022,13/06/2022,1.675128769
time_series_0,05/06/2022,14/06/2022,-4.843809225
time_series_0,05/06/2022,15/06/2022,0.627661191
time_series_0,05/06/2022,16/06/2022,7.848063112
time_series_0,05/06/2022,17/06/2022,-3.755029864
time_series_0,05/06/2022,18/06/2022,-0.161753729
time_series_0,12/06/2022,12/06/2022,-3.356214198
time_series_0,12/06/2022,13/06/2022,-3.520303308
time_series_0,12/06/2022,14/06/2022,-2.428646742
time_series_0,12/06/2022,15/06/2022,-5.16935448
time_series_0,12/06/2022,16/06/2022,1.288172458
time_series_0,12/06/2022,17/06/2022,9.067199931
time_series_0,12/06/2022,18/06/2022,5.920665435
time_series_0,12/06/2022,19/06/2022,4.766738151
time_series_0,12/06/2022,20/06/2022,-0.163334128
time_series_0,12/06/2022,21/06/2022,1.805228776
time_series_0,12/06/2022,22/06/2022,-12.09181565
time_series_0,12/06/2022,23/06/2022,-8.378885675
time_series_0,12/06/2022,24/06/2022,3.087691027
time_series_0,12/06/2022,25/06/2022,-14.76959025
time_series_0,19/06/2022,19/06/2022,3.749264717
time_series_0,19/06/2022,20/06/2022,0.077780993
time_series_0,19/06/2022,21/06/2022,-0.869514974
time_series_0,19/06/2022,22/06/2022,-4.275996242
time_series_0,19/06/2022,23/06/2022,-0.472922658
time_series_0,19/06/2022,24/06/2022,1.621087352
time_series_0,19/06/2022,25/06/2022,3.360897996
time_series_0,19/06/2022,26/06/2022,6.464266094
time_series_0,19/06/2022,27/06/2022,7.136462843
time_series_0,19/06/2022,28/06/2022,0.185545446
time_series_0,19/06/2022,29/06/2022,-2.294232272
time_series_0,19/06/2022,30/06/2022,-7.211420128
time_series_0,19/06/2022,01/07/2022,-7.187856341
time_series_0,19/06/2022,02/07/2022,-9.616611042
time_series_0,26/06/2022,26/06/2022,4.908310768
time_series_0,26/06/2022,27/06/2022,7.374683818
time_series_0,26/06/2022,28/06/2022,1.357394855
time_series_0,26/06/2022,29/06/2022,-5.190107045
time_series_0,26/06/2022,30/06/2022,-2.046488547
time_series_0,26/06/2022,01/07/2022,-6.550375481
time_series_0,26/06/2022,02/07/2022,-8.456174733
time_series_0,26/06/2022,03/07/2022,-4.350989982
time_series_0,26/06/2022,04/07/2022,-0.684944499
time_series_0,26/06/2022,05/07/2022,11.35519511
time_series_0,26/06/2022,06/07/2022,-0.002491206
time_series_0,26/06/2022,07/07/2022,-22.94547796
time_series_0,26/06/2022,08/07/2022,-8.975622749
time_series_0,26/06/2022,09/07/2022,-6.714181138
time_series_0,03/07/2022,03/07/2022,-2.081235935
time_series_0,03/07/2022,04/07/2022,6.263325133
time_series_0,03/07/2022,05/07/2022,6.995503275
time_series_0,03/07/2022,06/07/2022,4.329654419
time_series_0,03/07/2022,07/07/2022,1.989384112
time_series_0,03/07/2022,08/07/2022,2.738130214
time_series_0,03/07/2022,09/07/2022,-12.1194069
time_series_0,03/07/2022,10/07/2022,-6.063346339
time_series_0,03/07/2022,11/07/2022,-12.04577166
time_series_0,03/07/2022,12/07/2022,-7.411866543
time_series_0,03/07/2022,13/07/2022,0.965008216
time_series_0,03/07/2022,14/07/2022,-2.816244431
time_series_0,03/07/2022,15/07/2022,1.785060974
time_series_0,03/07/2022,16/07/2022,5.306504105
time_series_0,10/07/2022,10/07/2022,-5.163201088
time_series_0,10/07/2022,11/07/2022,-5.194446709
time_series_0,10/07/2022,12/07/2022,-5.630648471
time_series_0,10/07/2022,13/07/2022,-0.405755613
time_series_0,10/07/2022,14/07/2022,4.807404251
time_series_0,10/07/2022,15/07/2022,2.876978343
time_series_0,10/07/2022,16/07/2022,0.513877344
time_series_0,10/07/2022,17/07/2022,2.012820488
time_series_0,10/07/2022,18/07/2022,-0.111518926
time_series_0,10/07/2022,19/07/2022,0.713244646
time_series_0,10/07/2022,20/07/2022,-14.93653203
time_series_0,10/07/2022,21/07/2022,-5.703882347
time_series_0,10/07/2022,22/07/2022,0.358202192
time_series_0,10/07/2022,23/07/2022,-17.86224007
time_series_0,17/07/2022,17/07/2022,-0.706641329
time_series_0,17/07/2022,18/07/2022,-6.071325695
time_series_0,17/07/2022,19/07/2022,-5.024516714
time_series_0,17/07/2022,20/07/2022,-0.437705703
time_series_0,17/07/2022,21/07/2022,-5.81260205
time_series_0,17/07/2022,22/07/2022,7.19362838
time_series_0,17/07/2022,23/07/2022,13.7564035
time_series_0,17/07/2022,24/07/2022,10.96467466
time_series_0,17/07/2022,25/07/2022,6.387280611
time_series_0,17/07/2022,26/07/2022,-3.401196603
time_series_0,17/07/2022,27/07/2022,-13.40754052
time_series_0,17/07/2022,28/07/2022,-5.756413326
time_series_0,17/07/2022,29/07/2022,-10.53126971
time_series_0,17/07/2022,30/07/2022,-3.459960759
time_series_0,24/07/2022,24/07/2022,7.609833656
time_series_0,24/07/2022,25/07/2022,4.192629724
time_series_0,24/07/2022,26/07/2022,-1.380036988
time_series_0,24/07/2022,27/07/2022,-10.70248612
time_series_0,24/07/2022,28/07/2022,-11.05112224
time_series_0,24/07/2022,29/07/2022,4.2011325
time_series_0,24/07/2022,30/07/2022,0.792438944
time_series_0,24/07/2022,31/07/2022,1.554098049
time_series_0,24/07/2022,01/08/2022,-3.876661487
time_series_0,24/07/2022,02/08/2022,6.590399739
time_series_0,24/07/2022,03/08/2022,8.838943781
